City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
68,wenling,28.3669,121.36,55.35,93,99,7.78,CN,2023-02-06 10:52:01
69,fortuna,40.5982,-124.1573,41.92,96,20,4.61,US,2023-02-06 10:52:01
70,beringovskiy,63.05,179.3167,-21.24,97,94,9.28,RU,2023-02-06 10:52:02
71,san patricio,28.017,-97.5169,64.27,95,0,7.81,US,2023-02-06 10:52:02
72,kasamwa,-2.85,32.4333,82.27,41,73,4.34,TZ,2023-02-06 10:52:02
73,santiago de compostela,42.8805,-8.5457,53.19,61,0,5.75,ES,2023-02-06 10:52:03
74,thompson,55.7435,-97.8558,12.36,92,100,3.44,CA,2023-02-06 10:52:03
75,airai,-8.9266,125.4092,61.92,94,92,2.19,TL,2023-02-06 10:52:04
76,sangueya,10.7,-14.3667,88.61,32,83,1.41,GN,2023-02-06 10:52:04
77,berdigestyakh,62.0989,126.6992,-42.09,100,98,2.62,RU,2023-02-06 10:52:05
78,homer,59.6425,-151.5483,31.89,80,100,13.8,US,2023-02-06 10:52:05
79,busselton,-33.65,115.3333,71.98,70,0,14.88,AU,2023-02-06 10:52:06
80,valdez,1.2492,-78.9831,75.34,90,98,4.59,EC,2023-02-06 10:52:06
81,sao filipe,14.8961,-24.4956,69.13,59,48,14.38,CV,2023-02-06 10:52:06
82,mezen,65.8522,44.24,3.56,97,98,6.33,RU,2023-02-06 10:52:07
83,barrow,71.2906,-156.7887,-14.78,84,100,4.61,US,2023-02-06 10:52:07
84,atuona,-9.8,-139.0333,78.44,75,35,18.01,PF,2023-02-06 10:52:08
85,pontianak,-0.0333,109.3333,84.18,74,20,6.91,ID,2023-02-06 10:52:08
86,rikitea,-23.1203,-134.9692,77.27,79,5,6.64,PF,2023-02-06 10:47:33
87,vao,-22.6667,167.4833,79.02,77,27,15.77,NC,2023-02-06 10:52:09
88,vostok,46.4856,135.8833,-6.93,99,72,4.74,RU,2023-02-06 10:52:09
89,fort smith,35.3859,-94.3986,45.25,86,0,4.61,US,2023-02-06 10:47:36
90,bandarbeyla,9.4942,50.8122,78.31,63,37,15.84,SO,2023-02-06 10:52:10
91,port elizabeth,-33.918,25.5701,82.69,65,20,6.91,ZA,2023-02-06 10:52:10
92,iguape,-24.7081,-47.5553,76.86,77,14,5.75,BR,2023-02-06 10:52:10
93,hit,33.6416,42.8251,67.01,39,44,17.94,IQ,2023-02-06 10:52:11
94,yar-sale,66.8333,70.8333,-20.45,100,100,3.98,RU,2023-02-06 10:52:11
95,walla walla,46.0646,-118.343,41.9,79,100,14.0,US,2023-02-06 10:52:11
96,aklavik,68.2191,-135.0107,-42.52,100,56,2.82,CA,2023-02-06 10:52:12
97,gat,31.61,34.7642,56.79,29,65,30.58,IL,2023-02-06 10:52:12
98,rusne,55.2964,21.3758,35.78,72,79,8.52,LT,2023-02-06 10:52:13
99,clyde river,70.4692,-68.5914,-27.17,75,20,5.75,CA,2023-02-06 10:52:13
100,yellowknife,62.456,-114.3525,-8.45,77,40,8.05,CA,2023-02-06 10:48:02
101,kulhudhuffushi,6.6221,73.07,81.36,71,58,4.72,MV,2023-02-06 10:52:14
102,hithadhoo,-0.6,73.0833,81.81,69,57,12.3,MV,2023-02-06 10:52:14
103,cidreira,-30.1811,-50.2056,72.59,80,20,6.62,BR,2023-02-06 10:52:15
104,bashtanka,47.4072,32.4387,32.11,51,89,19.22,UA,2023-02-06 10:52:15
105,dubbo,-32.25,148.6167,77.13,29,0,6.91,AU,2023-02-06 10:52:15
106,tiksi,71.6872,128.8694,-25.13,100,100,4.0,RU,2023-02-06 10:52:16
107,evensk,61.95,159.2333,-19.19,76,8,10.31,RU,2023-02-06 10:52:16
108,san quintin,30.4833,-115.95,54.36,80,50,21.45,MX,2023-02-06 10:52:17
109,ascension,30.2169,-90.9001,47.01,93,0,0.0,US,2023-02-06 10:52:17
110,marsh harbour,26.5412,-77.0636,72.99,77,40,9.71,BS,2023-02-06 10:52:17
111,phatthalung,7.5,100.0833,78.93,79,54,6.89,TH,2023-02-06 10:52:18
112,jamestown,42.097,-79.2353,34.02,100,100,8.05,US,2023-02-06 10:50:45
113,saskylakh,71.9167,114.0833,-25.73,98,100,4.99,RU,2023-02-06 10:52:18
114,teknaf,20.8624,92.3058,76.51,44,1,16.42,BD,2023-02-06 10:52:19
115,touros,-5.1989,-35.4608,82.38,69,16,9.26,BR,2023-02-06 10:52:19
116,georgetown,5.4112,100.3354,78.73,94,40,6.91,MY,2023-02-06 10:52:20
117,walvis bay,-22.9575,14.5053,65.17,81,100,5.61,NA,2023-02-06 10:52:20
118,los llanos de aridane,28.6585,-17.9182,62.35,70,20,10.36,ES,2023-02-06 10:52:20
119,royan,45.6285,-1.0281,42.84,73,6,18.48,FR,2023-02-06 10:52:21
120,kargasok,59.0556,80.8572,5.85,99,100,3.36,RU,2023-02-06 10:52:21
121,hirara,24.8,125.2833,66.47,94,75,2.3,JP,2023-02-06 10:52:22
122,port-gentil,-0.7193,8.7815,85.96,70,40,9.22,GA,2023-02-06 10:52:22
123,sao joao da barra,-21.6403,-41.0511,77.09,85,1,6.73,BR,2023-02-06 10:52:22
124,riyadh,24.6877,46.7219,80.74,29,48,20.78,SA,2023-02-06 10:52:23
125,tateyama,34.9833,139.8667,50.63,48,100,4.36,JP,2023-02-06 10:52:23
126,matagami,49.7502,-77.6328,-9.29,84,100,3.44,CA,2023-02-06 10:52:24
127,mapiri,-15.25,-68.1667,63.93,99,98,0.56,BO,2023-02-06 10:52:24
